Name,Price,Link,Image_URL,Rating,Description,Product ID,Manufactured By,Sold By,Width,Depth,Height,Weight,Color,Materials,Category,Style,Number of Colors,List of Colors
Trent Home Transitional Faux Leather Sectional Sofa with Ottoman in Black,$611,https://www.houzz.com/products/trent-home-transitional-faux-leather-sectional-sofa-with-ottoman-in-black-prvw-vr~198838714,https://st.hzcdn.com/fimgs/b5611f8504ae33e8_5535-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"The Trent Home Faux Leather Sectional Sofa offers both comfort and contemporary style to your living room. Upholstered in black faux leather, this sectional sofa exudes a sleek and modern look. The spacious seating arrangement, including a chaise lounge and an ottoman, provides ample room for relaxation and entertaining guests. The sturdy construction ensures durability, while the plush cushions and adjustable headrests offer optimal comfort. Whether you're lounging or hosting, this sectional sofa is a perfect addition to your home.",198838714,,Homesquare,99.5 inches,67.0 inches,32.0 inches,190.0 lbs,Black,Faux Leather,Sectional Sofas,Transitional,0,
"Minkler Contemporary Faux Leather 3 Seater Sofa With Chaise Lounge, Cognac/Dark Walnut",$843,https://www.houzz.com/products/minkler-contemporary-faux-leather-3-seater-sofa-with-chaise-lounge-cognac-dark-prvw-vr~182674414,https://st.hzcdn.com/fimgs/49411b0b01e53b69_9826-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Stretch out your legs and enjoy a movie at home with some of your favorite people. Featuring a two-seater sofa and a chaise lounge ensemble, this sectional set not only upgrades your living room space in looks but also brings delightful comfort for you to enjoy. This set is finished with smooth upholstery and a sophisticated tuxedo design, accentuating its contemporary style. Seamlessly blending into your existing furniture, our sofa with chaise lounge set is the perfect addition to any living room decor.",182674414,GDFStudio,GDFStudio,67.5 inches,31.25 inches,26.0 inches,74.52 lbs,Cognac/Dark Walnut,,Sectional Sofas,Contemporary,3,"Cognac/Dark Walnut, Midnight/Dark Walnut, Dark Brown/Dark Walnut"
"Commix Down Filled Overstuffed Performance Velvet 6-Piece Sectional, Cognac","$3,252",https://www.houzz.com/products/commix-down-filled-overstuffed-performance-velvet-6-piece-sectional-cognac-prvw-vr~178935718,https://st.hzcdn.com/fimgs/46910bcc0fe36e1a_2507-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"A haven for cozy relaxation, Commix features plush comfort, clean-lined design, and spacious profile, that makes an attractive statement in the modern home. Covered in stain-resistant performance velvet, this upholstered sectional sofa comes with a solid wood construction and foam padded and duck down cushions for a luxurious sink-in feel. Commix features overstuffed down feather cushions that offer a feeling of relaxation and calming comfort while lounging, making it the perfect addition to the living room, family room, or game room. Made for sprawling out or curling up, Commix beckons you and guests to sit and stay a while. Includes plastic foot glides. Weight Capacity Each Chair: 331 lbs.",178935718,LexMod,First of a Kind USA Inc,158.0 inches,79.0 inches,35.0 inches,425.0 lbs,Cognac,"Seat:28-33KG/M3 density foam; Seat cushion: doll cotton 50%, down feather 50%, 9l",Sectional Sofas,Contemporary,7,"Cognac, Dusty Rose, Light Gray, White, Green, Navy, Gray"
Pimlico 100% Top Grain Leather Sofa,"$2,338",https://www.houzz.com/products/pimlico-100-top-grain-leather-sofa-prvw-vr~156867668,https://st.hzcdn.com/fimgs/fa71523e0e866093_7174-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Luxury has a name, and that name is leather. Nothing could be more inviting than the warm, rich tones of 100% top grain leather upholstery on a simple, sleek design. More than just a pretty face, the Pimlico's higher than average foam density (2.1 lbs per sq ft) means a longer lasting, more comfortable sofa. The hardwood frame has fully padded and reinforced outside arms and back, and the solid wooden base in a dark stain provides a sophisticated contrast to the sofa body.
Hello Sofa Home has a long and distinguished pedigree of manufacturing the highest quality leather furniture at a tremendous value. Every piece is made with upgraded top grain cowhide leather and top quality construction, to give you and your family a beautiful, long lasting piece of furniture.",156867668,Hello Sofa Home,Houzz,86.0 inches,35.0 inches,34.0 inches,139.0 lbs,,"100% top grain leather, Hardwood, High resiliency foam",Sofas,Transitional,0,
"Harvey Reversible Sectional Sofa Chaise, Dark Gray",$849,https://www.houzz.com/products/harvey-reversible-sectional-sofa-chaise-dark-gray-prvw-vr~143417914,https://st.hzcdn.com/fimgs/3c8131f00fa19e4b_0563-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Feel young again with the Harvey Collection! Made for modern day small space living, this European Style Modular Sectional Sofa with Reversible Chaise is the perfect choice for you to entertain your guests in style and comfort! The low-back, thick seat cushions and arms, welt finish, and accent pillows are all features for the trendiest look in modern day furnishings. Available in beige and dark gray colors that will complement your home's specific decor.",143417914,Lilola Home,Houzz,104.0 inches,67.5 inches,31.5 inches,173.0 lbs,,"Fabric, Wood, Foam",Sectional Sofas,Transitional,0,
"Hyde Boucle Fabric Upholstered, Cream, Sofa","$1,507",https://www.houzz.com/products/hyde-boucle-fabric-upholstered-cream-sofa-prvw-vr~188032409,https://st.hzcdn.com/fimgs/18218a3202f516f2_9731-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Curl up and relax on this Hyde cream boucle fabric . This wide, rounded is as comfortable as it is stylish, making it an excellent addition to your living space. Rich cream boucle fabric upholstery gives a soft touch against your skin and its deep plush cushion provides you with cozy support. Its rounded back is both chic and homey, with its contemporary design sure to add flair to your modern home.",188032409,Meridian Furniture,Houzz,89.5 inches,38.0 inches,27.5 inches,134.2 lbs,Cream,Boucle Fabric,Sofas,Transitional,5,"Cream, Black, Brown, Grey, Green"
"Jameer Modern Glam Tufted Velvet 3 Seater Sofa, Grey/Dark Brown",$461,https://www.houzz.com/products/jameer-modern-glam-tufted-velvet-3-seater-sofa-grey-dark-brown-prvw-vr~165406289,https://st.hzcdn.com/fimgs/d961d3550fc6852d_2888-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Stretch out in leisure on a lovely sofa that will not only anchor your home in refined style but also offer luxurious comfort for you and your guests. Featuring velvet upholstery, this sophisticated sofa is the perfect addition for any interior space. This takes gorgeous button tufted diamond stitching and sloped arms for a graceful structure, easily anchoring your decor in an atmosphere of contemporary elegance. This sofa is finished with beautifully turned wood legs, bringing impressive style and outstanding durability to your home.
MODERN GLAM: Our sofa showcases smooth velvet upholstery and jewel-like colors that pair seamlessly with clean, straight lines for a luxurious modern glam look. Complemented with precise angles and minimalistic structure, this chair brings a sleek touch to any decor.
BUTTON TUFTED DIAMOND STITCH: The button-tufted stitching in the backrest offers an extra touch of sophistication that enhances its contemporary design. The diamond stitch pattern adds a bit of texture without sacrificing any comfort.
VELVET: Our velvet is 100% polyester, featuring a featherlike softness and unique sheen. With a built-in resistance to wrinkles and outstanding durability, this velvet is hands down the best option amongst velvets.
BIRCH WOOD LEGS: This sofa is supported by beautifully turned birch wood legs which offer an attractive look and durable structure. Its fine grain takes stains well, giving this piece a gorgeous finish.
DIMENSIONS: Choose an accessory that is the perfect size for you and your furniture. This sofa is 74.50"" W x 31.00"" D x 30.75"" H. You will love how much your space can transform with the simple addition of this charming couch.",165406289,GDFStudio,GDFStudio,74.5 inches,31.0 inches,30.75 inches,85.32 lbs,Grey/Dark Brown,,Sofas,Traditional,3,"Grey/Dark Brown, Emerald/Dark Brown, Black/Dark Brown"
Divani Casa Edgar Modern Gray Fabric Modular Sectional Sofa,"$1,805",https://www.houzz.com/products/divani-casa-edgar-modern-gray-fabric-modular-sectional-sofa-prvw-vr~117590409,https://st.hzcdn.com/fimgs/aae1877c0b0473f8_4899-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,Use your creative spirit to configure this sectional to fit your needs and unique space. Two-piece modular sectional sofa set with square-tufted tight seat and movable backrests in gray fabric. Backrests are boxed waterfall design. Includes two bolster and knife edge pillow combinations that can be used as headrests. Four wood legs in medium brown color on each section.,117590409,Vig Furniture Inc.,Houzz,124.0 inches,83.0 inches,33.0 inches,248.0 lbs,,"Fabric, Wood",Sectional Sofas,Transitional,0,
"Chloe Velvet Sectional Sofa Chaise With USB Charging Port, Pink",$622,https://www.houzz.com/products/chloe-velvet-sectional-sofa-chaise-with-usb-charging-port-pink-prvw-vr~170975916,https://st.hzcdn.com/fimgs/f791d3d302a8f885_1881-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Glam up your living room with the Chloe Collection! Crafted from fine wood and quality fabrics, this sectional sofa features 2 USB charging ports with side pockets wrapped with soft velvet with vertical stitching, 2 round accent decor pillows, and metal chrome legs which will allow you to entertain multiple guests and family members in comfort and style. This hand-crafted beauty creates a charming atmosphere for everyone to enjoy! Available in many colors that will complement your home's specific decor.",170975916,Lilola Home,Homesquare,85.5 inches,61.0 inches,30.0 inches,138.0 lbs,Pink,"Fabric, Wood, Foam, Metal",Sectional Sofas,Midcentury,3,"Gray, Black, Pink"
"Ashton Upholstered Fabric Sectional Sofa, Charcoal",$597,https://www.houzz.com/products/ashton-upholstered-fabric-sectional-sofa-charcoal-prvw-vr~176776006,https://st.hzcdn.com/fimgs/81b1de6601395336_7737-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"Sit back and relax amidst streamlined style and supportive comfort with the Ashton Upholstered Fabric Sectional Sofa. Perfect for the living room or lounge area, this sofa is enriched with a tailored profile, separate seat cushions, and a classic nailhead trim. Upholstered in polyester fabric, this living room sofa is padded with dense foam and complete with a spring pocket support system to offer a premium seating experience. Durably crafted, this sectional sofa rests on solid wood legs with non-marking foot pins to protect flooring. Say goodbye to the days of hauling heavy furniture because Ashton ships in a conveniently portable box that's easily maneuverable up staircases and narrow hallways. Assembly required. Sectional Sofa Weight Capacity: 1103 lbs.",176776006,LexMod,Homesquare,80.5 inches,55.0 inches,35.5 inches,112.0 lbs,Charcoal,Metal foam 100% polyester Huajin TAN Full KD structure solid wood legs,Sectional Sofas,Transitional,5,"Charcoal, Teal, Azure, Light Gray, White"
"GDF Studio Vita Chesterfield Tufted Jewel Toned Velvet Sofa With Scroll Arms, Blackberry",$883,https://www.houzz.com/products/gdf-studio-vita-chesterfield-tufted-jewel-toned-velvet-sofa-with-scroll-arms-bl-prvw-vr~131535885,https://st.hzcdn.com/fimgs/18115f4b0f931d29_0732-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"This chesterfield styled sofa is the ideal addition to any living room. Featuring a classic design with traditional elements such as deep button tufting, scrolled arms, and nailhead accents, this sofa is a statement piece that can change the whole flow of your living room. This sofa also has deep seating and exceedingly comfortable cushions specifically designed with your comfort in mind. This sofa is sure to impress both you and your family.

CHESTERFIELD STYLE: Designed with the traditional chesterfield sofa in mind, this sofa hits all the key elements, with deep button tufting, nailhead accents, scrolled arms, and turned legs.

DEEP BUTTON TUFTING: Featuring deep button tufting for both design and comfort. The tufting allows for breathing space while you relax, limiting the amount of heat that is generated.

NAILHEAD ACCENTS: Expertly styled, this sofa has tasteful nailhead accents on the front end of the scrolled arms to draw the eye in and complement the deep button tufting.

SCROLLED ARMS: To complete the chesterfield look, this sofa features scrolled arms. Not only does it add an air of class to the sofa and your room, but it also provides a more comfortable place to lean against while relaxing on your sofa.

TURNED LEGS: For the final touch, this sofa features turned legs, for a complete traditional look.

DEEP SEATING: This sofa has deep seating for maximum comfort.

INDIVIDUAL SEAT CUSHIONS: With individual seat cushions, plumped with your comfort in mind, this sofa is as comfortable as it is stylish, if not more so. The individual cushions ensure that each person seated on the sofa gets the full amount of comfort possible.",131535885,GDFStudio,GDFStudio,34.5 inches,84.5 inches,27.5 inches,66.14 lbs,Blackberry,"Velvet, Birch",Sofas,Traditional,3,"Emerald, Blackberry, Navy Blue"
"GDF Studio Emily Buttoned Traditional Fabric 3-Seat Sofa, Navy Blue",$528,https://www.houzz.com/products/gdf-studio-emily-buttoned-traditional-fabric-3-seat-sofa-navy-blue-prvw-vr~114687917,https://st.hzcdn.com/fimgs/6741165101e4f00c_2222-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"This buttoned, traditional, 3 seat sofa is a wonderful addition to any living room. Featuring 3 extra padded seat cushions for maximum comfort, this sofa is both stylish and comfortable. The graceful, understated design allows this sofa to blend perfectly with any furniture you currently have.",114687917,GDFStudio,GDFStudio,32.0 inches,78.5 inches,31.75 inches,74.96 lbs,Navy Blue,Fabric,Sofas,Midcentury,2,"Navy Blue, Dark Gray"
Costway PU Leather Foldable Modern Floor Sofa Bed Video Gaming 2 Pillows Black,$156,https://www.houzz.com/products/costway-pu-leather-foldable-modern-floor-sofa-bed-video-gaming-2-pillows-black-prvw-vr~167499028,https://st.hzcdn.com/fimgs/5771703d0fd4c94e_7754-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"This Is PU Leather stylish folding sofa bed, which is perfect for providing great support for reading, meditating, watching TV or relaxing. Made with internal steel frame structure and stuffed with high-density foam, the surface of the whole PU leather. 2 leather pillows are also included provide more relaxation and comfort. This sofa bed offers comfort and support for floor seating. With the durable and sturdy steel frame, the back can be easily adjusted from 75 to 180 degree from flat to upright with 5 different positions. Perfect for small spaces, this lightweight, versatile chair can be easily moved around and placed on any clean and dry surface.
PU Leather Folding Sofa Bed with Pillows:Stylish and comfortable design, Which is perfect for providing great support for reading, meditating, watching TV or relaxing. 2 leather pillows are also included provide more relaxation and comfort
Sturdy And Durable:Made with internal steel frame structure and stuffed with high-density foam, the surface of the whole PU leather, Provide steady and durable long time using
Adjustable Design:With the durable and sturdy steel frame, the back can be easily adjusted from 90 to 180 degree from flat to upright with 5 different positions.
Widely Use:Perfect for small spaces, this lightweight, versatile chair can be easily moved around and placed on any clean and dry surface. Used as a chair, lounge, chaise bed for sleeping, reading, playing and having fun with it
Easy To Clean:Water proof PU surface will help more easier clean the chair and also need some easy assemble(instructions are included) you could use the sofa bed",167499028,Goplus Corp,Goplus Corp,89.37 inches,43.0 inches,4.72 inches,33.0 lbs,Black,"PU Leather, foam, Steel",Sofas,Contemporary,0,
"Empress Upholstered Fabric Sofa, Wheatgrass",$665,https://www.houzz.com/products/empress-upholstered-fabric-sofa-wheatgrass-prvw-vr~157319858,https://st.hzcdn.com/fimgs/36d1099b00cd19a6_7556-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"End the rule of unjust sovereignties that wage a useless war for your interiors. Empress leaves the would-be heiress of holistic furnishings in the dust with a design that rivals any competitor. Empress is heralded with deeply tufted buttons, plush cushions, and armrests that convey that perfect air of nobility. The solid wood legs come with plastic glides to prevent floor scratching, and the bonded leather upholstery leaves the recipients feeling richly rewarded.",157319858,LexMod,Uber Bazaar,84.5 inches,35.5 inches,34.5 inches,95.0 lbs,Wheatgrass,Upholstered Fabric,Sofas,Midcentury,13,"Wheatgrass, Azure, Beige, Laguna, Teal, Light Gray, Lagua, Granite, Oatmeal, Grey, Gray, Sunny, Red"
"Alana 88"" L-Shape Reversible Sectional Sofa, Light Beige Linen","$1,240",https://www.houzz.com/products/alana-88-l-shape-reversible-sectional-sofa-light-beige-linen-prvw-vr~190287957,https://st.hzcdn.com/fimgs/e82192a803bc91e1_0727-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"The Alana Seating Collection by Jennifer Taylor Home is American country refinement and comfort at its best. The iconic Lawson style is reimagined with fluffy seat cushions, a tight back, and gently rolled recessed arms. The chaise is reversible so you can orient the sectional to be left-hand facing or right-hand facing. Pretty enough to be dressed up in a sitting room yet comfortable for lounging and relaxing, the Alana is perfect for any space in the home. Featuring removable and reversible seat cushions for versatility, and solid wood legs with front casters for mobility. See the complete collection for the matching sofa and armchair.
*Fabric swatch available upon request",190287957,Jennifer Taylor Home,Houzz,88.0 inches,62.0 inches,33.0 inches,119.0 lbs,,"Wood, Birch Wood, Linen, Fabric, Polyester",Sectional Sofas,Traditional,0,
"Haven Living Room Set, Beige, 5-Piece","$2,346",https://www.houzz.com/products/haven-living-room-set-beige-5-piece-prvw-vr~175128089,https://st.hzcdn.com/fimgs/ca51337100f7c44a_6608-w358-h358-b1-p0--.jpg,4.8 out of 5 stars,"The Picket House Furnishings Haven 5PC Sectional Sofa will make you wish your own bed was this comfy! Down filled feathers give the seat cushions their shape, making this the only place you want to relax at the end of the day. The 5"" high density foam adds another layer of comfort to this already dream-like sectional. Another great thing about this piece is its durable, linen fabric. Neutral color options and transitional design will ensure that this sectional sofa will be a staple in your home year after year.",175128089,Picket House,Houzz,156.0 inches,40.0 inches,34.0 inches,252.0 lbs,Beige,Brown/Plywood,Sectional Sofas,Transitional,2,"Beige, Charcoal"
"Engage Herringbone Fabric Sofa, Beige",$709,https://www.houzz.com/products/engage-herringbone-fabric-sofa-beige-prvw-vr~190458502,https://st.hzcdn.com/fimgs/a0b11f73033f0540_8502-w358-h358-b1-p0--.jpg,4.4 out of 5 stars,"Gently sloping curves and plush seat cushion create a favorite lounging spot. Whether plopping down after a long day at work, settling in with coffee and brunch, or entering a spirited discussion with friends, the Engage Sofa is a welcome presence in your home. Three tufted buttons create eye-catching appeal, adding depth that brings your sitting decor to center stage. Four black wood legs and frame supply a solid base to the textured fabric upholstery with subtle herringbone detail.",190458502,LexMod,Modern Furniture LLC,90.0 inches,34.5 inches,34.0 inches,100.0 lbs,Beige,"frame elastic webbing, Seat cushion is removeable, back cushion is unremoveable,",Sofas,Midcentury,4,"Charcoal, Beige, Ivory, Light Gray"
"Commix Down Filled Overstuffed Performance Velvet 6-Piece Sectional, Cognac","$3,252",https://www.houzz.com/products/commix-down-filled-overstuffed-performance-velvet-6-piece-sectional-cognac-prvw-vr~178935718,https://st.hzcdn.com/fimgs/46910bcc0fe36e1a_2507-w358-h358-b1-p0--.jpg,4.4 out of 5 stars,"A haven for cozy relaxation, Commix features plush comfort, clean-lined design, and spacious profile, that makes an attractive statement in the modern home. Covered in stain-resistant performance velvet, this upholstered sectional sofa comes with a solid wood construction and foam padded and duck down cushions for a luxurious sink-in feel. Commix features overstuffed down feather cushions that offer a feeling of relaxation and calming comfort while lounging, making it the perfect addition to the living room, family room, or game room. Made for sprawling out or curling up, Commix beckons you and guests to sit and stay a while. Includes plastic foot glides. Weight Capacity Each Chair: 331 lbs.",178935718,LexMod,First of a Kind USA Inc,158.0 inches,79.0 inches,35.0 inches,425.0 lbs,Cognac,"Seat:28-33KG/M3 density foam; Seat cushion: doll cotton 50%, down feather 50%, 9l",Sectional Sofas,Contemporary,7,"Cognac, Dusty Rose, Light Gray, White, Green, Navy, Gray"
"Russell Sectional, Taupe fabric With 2 Pillows and Coffeeed Legs","$1,013",https://www.houzz.com/products/russell-sectional-taupe-fabric-with-2-pillows-and-coffeeed-legs-prvw-vr~99225838,https://st.hzcdn.com/fimgs/45f12fc50988cc03_3604-w358-h358-b1-p0--.jpg,4.4 out of 5 stars,"Russell Sectional in Taupe fabric with 2 Pillows and Coffee Finished Legs
Invite comfort into your home with this reversible chaise sectional sofa. Enjoy the plush luxury of gusseted back cushions along with innerspring coil seat cushions wrapped in foam for extended support and maximum relaxation. Upholstered in durable 100% polyester fabric for easy cleaning and maintenance for years to come. The handy reversible chaise requires a simple adjustment for a left or right configuration. Create the cozy living room of your dreams with the Avenue Six Russell sectional.",99225838,Office Star Products,Houzz,73.75 inches,59.25 inches,35.63 inches,137.0 lbs,Taupe,"100% Polyester, New Zealand Pine",Sectional Sofas,Transitional,3,"Taupe, Navy, Earth"
"Delray Sofa, Navy Blue",$647,https://www.houzz.com/products/delray-sofa-navy-blue-prvw-vr~135771271,https://st.hzcdn.com/fimgs/0a81f9a10ea0cb8b_6723-w358-h358-b1-p0--.jpg,4.4 out of 5 stars,"Soft Velvet Channel Tufted on the Inside of the arms and Backs and Pocketed Coil Cushion Seats Make this Set Comfortable and Stylish. Nailhead trimmed and finished off with Chrome Plated Legs , It also includes Round Matching Throw Pillows. KD Design allows for EZ Delivery to any Home or Room! Choose from Sofa. Loveseat Chair Or Reversible Chaise Sectional",135771271,Glory Furniture,Homesquare,87.0 inches,34.0 inches,32.0 inches,114.0 lbs,Navy Blue,Solid and Manufactured Wood,Sofas,Midcentury,5,"Navy Blue, Pink, Ivory, Black, Green"
"Hedera 2-Piece Set Sectional Sofa, Gray Color","$1,150",https://www.houzz.com/products/hedera-2-piece-set-sectional-sofa-gray-color-prvw-vr~159688545,https://st.hzcdn.com/fimgs/3ee1e6650ec74cbb_8307-w358-h358-b1-p0--.jpg,4.4 out of 5 stars,"Providing a multitude of functional aspects, the Hedera Collection will be the perfect addition to your modernly styled living room. With a design that allows for this sectional to be configured as either a right or left side chaise,the versatility will make placement within your space a breeze. The dropdown seatback provides dual cupholders and flat surface for secure placement of your beverages and snacks.",,,, None, None, None, None,,,,,2,"Gray, Dark Gray"
Jocelyn Dark Gray Woven 7-Piece Modular L-Shape Sectional Sofa With Ottoman,"$1,504",https://www.houzz.com/products/jocelyn-dark-gray-woven-7-piece-modular-l-shape-sectional-sofa-with-ottoman-prvw-vr~181862280,https://st.hzcdn.com/fimgs/066182960eacaeef_0730-w358-h358-b1-p0--.jpg,4.4 out of 5 stars,"Comfort, Style, and Quality! These are the important features for the Joycelyn Collection. This beautiful 7-piece Modular Sectional Sofa with Ottoman will fit into any living room and impress your guests! The comfortable dark gray woven fabric with matching accent pillows will light up your living room with the most trendiest of looks. The size will allow you to welcome multiple guests where everyone will be able to enjoy entertainment together.",,,, None, None, None, None,,,,,0,
Allen Mid Century Modern Tufted Genuine Leather Sofa in Cognac Tan,"$1,541",https://www.houzz.com/products/allen-mid-century-modern-tufted-genuine-leather-sofa-in-cognac-tan-prvw-vr~166034620,https://st.hzcdn.com/fimgs/fa71ecb80f9f9c81_7734-w358-h358-b1-p0--.jpg,4.4 out of 5 stars,"This comfortable living room couch will provide a fresh and pleasing look to your space and will be the center of attention thanks to its tufted design. This designer style top grain leather chesterfield sofas creates an inviting space for your guests or family entertainment activities.

Combining top-quality craftmanship and high-density foam, this set will provide you with great comfort and undoubtedly become the centerpiece of your living room, den, urban loft, condo. All pieces are made of top grain genuine leather and can be cleaned with a microfiber cloth.

Removable solid wood walnut color legs allow for simple delivery for tight spaces. Easy assembly, everyday use comfortable, affordable and durable quality leather couches.
Due to leather's natural characteristic, texture and color may vary.",166034620,Mid in Mod,Homesquare,84.0 inches,34.5 inches,31.0 inches,110.0 lbs,Tan,Leather,Sofas,Midcentury,0,
